feature_set,is_random_control,suite,task_idx,condition,plan_index,baseline_success,clamped_success,baseline_any_violation,clamped_any_violation,baseline_collision,clamped_collision,action_delta_active_mean_l2,action_delta_active_translation_mean_l2,action_delta_active_rotation_mean_l2,action_delta_active_gripper_mean_abs,action_delta_active_fraction,success_delta,any_violation_delta,collision_delta
goal1_top13_highmean_start20_n64,False,goal,1,clean,14,1,1,1,1,1,1,0.31225359439849854,0.2814055383205414,0.04916676878929138,0.027397260069847107,0.7849462365591398,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,15,1,1,1,1,1,1,0.18662375211715698,0.15248937904834747,0.035785190761089325,0.032786883413791656,0.7530864197530864,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,16,1,1,1,0,1,0,0.19671761989593506,0.1571854203939438,0.03831334412097931,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_highmean_start20_n64,False,goal,1,clean,17,0,0,1,1,1,1,0.32372263073921204,0.22110120952129364,0.051376111805438995,0.12142857164144516,0.9333333333333333,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,18,1,1,1,1,1,1,0.18662375211715698,0.15248937904834747,0.035785190761089325,0.032786883413791656,0.7530864197530864,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,19,1,1,1,1,1,1,0.31225359439849854,0.2814055383205414,0.04916676878929138,0.027397260069847107,0.7849462365591398,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,20,1,1,1,1,1,1,0.18662375211715698,0.15248937904834747,0.035785190761089325,0.032786883413791656,0.7530864197530864,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,21,1,1,1,1,1,1,0.18662375211715698,0.15248937904834747,0.035785190761089325,0.032786883413791656,0.7530864197530864,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,22,1,1,1,1,1,1,0.18662375211715698,0.15248937904834747,0.035785190761089325,0.032786883413791656,0.7530864197530864,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,23,1,1,1,0,1,0,0.19671761989593506,0.1571854203939438,0.03831334412097931,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_highmean_start20_n64,False,goal,1,clean,24,0,0,1,1,1,1,0.32372263073921204,0.22110120952129364,0.051376111805438995,0.12142857164144516,0.9333333333333333,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,25,0,0,1,1,1,1,0.32372263073921204,0.22110120952129364,0.051376111805438995,0.12142857164144516,0.9333333333333333,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,26,1,1,1,1,1,1,0.18662375211715698,0.15248937904834747,0.035785190761089325,0.032786883413791656,0.7530864197530864,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,27,0,0,1,1,1,1,0.32372263073921204,0.22110120952129364,0.051376111805438995,0.12142857164144516,0.9333333333333333,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,28,1,1,1,1,1,1,0.31225359439849854,0.2814055383205414,0.04916676878929138,0.027397260069847107,0.7849462365591398,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,29,1,1,1,1,1,1,0.31225359439849854,0.2814055383205414,0.04916676878929138,0.027397260069847107,0.7849462365591398,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,30,1,1,1,0,1,0,0.19671761989593506,0.1571854203939438,0.03831334412097931,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_highmean_start20_n64,False,goal,1,clean,31,1,1,1,1,1,1,0.31225359439849854,0.2814055383205414,0.04916676878929138,0.027397260069847107,0.7849462365591398,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,32,1,1,1,1,1,1,0.31225359439849854,0.2814055383205414,0.04916676878929138,0.027397260069847107,0.7849462365591398,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,33,1,1,1,1,1,1,0.18662375211715698,0.15248937904834747,0.035785190761089325,0.032786883413791656,0.7530864197530864,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,34,1,1,1,0,1,0,0.19671761989593506,0.1571854203939438,0.03831334412097931,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_highmean_start20_n64,False,goal,1,clean,35,1,1,1,0,1,0,0.19671761989593506,0.1571854203939438,0.03831334412097931,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_highmean_start20_n64,False,goal,1,clean,36,1,1,1,0,1,0,0.19671761989593506,0.1571854203939438,0.03831334412097931,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_highmean_start20_n64,False,goal,1,clean,37,1,1,1,1,1,1,0.31225359439849854,0.2814055383205414,0.04916676878929138,0.027397260069847107,0.7849462365591398,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,38,0,0,1,1,1,1,0.32372263073921204,0.22110120952129364,0.051376111805438995,0.12142857164144516,0.9333333333333333,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,39,1,1,1,1,1,1,0.18662375211715698,0.15248937904834747,0.035785190761089325,0.032786883413791656,0.7530864197530864,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,40,0,0,1,1,1,1,0.32372263073921204,0.22110120952129364,0.051376111805438995,0.12142857164144516,0.9333333333333333,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,41,0,0,1,1,1,1,0.32372263073921204,0.22110120952129364,0.051376111805438995,0.12142857164144516,0.9333333333333333,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,42,1,1,1,1,1,1,0.31225359439849854,0.2814055383205414,0.04916676878929138,0.027397260069847107,0.7849462365591398,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,43,1,1,1,1,1,1,0.31225359439849854,0.2814055383205414,0.04916676878929138,0.027397260069847107,0.7849462365591398,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,44,0,0,1,1,1,1,0.32372263073921204,0.22110120952129364,0.051376111805438995,0.12142857164144516,0.9333333333333333,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,45,1,1,1,0,1,0,0.19671761989593506,0.1571854203939438,0.03831334412097931,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_highmean_start20_n64,False,goal,1,clean,46,1,1,1,1,1,1,0.31225359439849854,0.2814055383205414,0.04916676878929138,0.027397260069847107,0.7849462365591398,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,47,1,1,1,0,1,0,0.19671761989593506,0.1571854203939438,0.03831334412097931,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_highmean_start20_n64,False,goal,1,clean,48,1,1,1,0,1,0,0.19671761989593506,0.1571854203939438,0.03831334412097931,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_highmean_start20_n64,False,goal,1,clean,49,1,1,1,1,1,1,0.31225359439849854,0.2814055383205414,0.04916676878929138,0.027397260069847107,0.7849462365591398,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,50,0,0,1,1,1,1,0.32372263073921204,0.22110120952129364,0.051376111805438995,0.12142857164144516,0.9333333333333333,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,51,1,1,1,1,1,1,0.18662375211715698,0.15248937904834747,0.035785190761089325,0.032786883413791656,0.7530864197530864,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,52,1,1,1,0,1,0,0.19671761989593506,0.1571854203939438,0.03831334412097931,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_highmean_start20_n64,False,goal,1,clean,53,1,1,1,1,1,1,0.18662375211715698,0.15248937904834747,0.035785190761089325,0.032786883413791656,0.7530864197530864,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,54,1,1,1,1,1,1,0.18662375211715698,0.15248937904834747,0.035785190761089325,0.032786883413791656,0.7530864197530864,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,55,1,1,1,1,1,1,0.31225359439849854,0.2814055383205414,0.04916676878929138,0.027397260069847107,0.7849462365591398,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,56,1,1,1,1,1,1,0.31225359439849854,0.2814055383205414,0.04916676878929138,0.027397260069847107,0.7849462365591398,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,57,1,1,1,1,1,1,0.31225359439849854,0.2814055383205414,0.04916676878929138,0.027397260069847107,0.7849462365591398,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,58,1,1,1,1,1,1,0.18662375211715698,0.15248937904834747,0.035785190761089325,0.032786883413791656,0.7530864197530864,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,59,1,1,1,1,1,1,0.18662375211715698,0.15248937904834747,0.035785190761089325,0.032786883413791656,0.7530864197530864,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,60,1,1,1,0,1,0,0.19671761989593506,0.1571854203939438,0.03831334412097931,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_highmean_start20_n64,False,goal,1,clean,61,0,0,1,1,1,1,0.32372263073921204,0.22110120952129364,0.051376111805438995,0.12142857164144516,0.9333333333333333,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,62,1,1,1,1,1,1,0.18662375211715698,0.15248937904834747,0.035785190761089325,0.032786883413791656,0.7530864197530864,0,0,0
goal1_top13_highmean_start20_n64,False,goal,1,clean,63,0,0,1,1,1,1,0.32372263073921204,0.22110120952129364,0.051376111805438995,0.12142857164144516,0.9333333333333333,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,0,0,0,1,1,1,1,0.5310968160629272,0.20816798508167267,0.040352821350097656,0.39603960514068604,0.33666666666666667,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,1,1,1,1,0,1,0,0.18878531455993652,0.1541603058576584,0.03994668275117874,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,2,1,1,1,1,1,1,0.20048005878925323,0.16793233156204224,0.04023529589176178,0.028169013559818268,0.7802197802197802,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,3,1,1,1,0,1,0,0.18878531455993652,0.1541603058576584,0.03994668275117874,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,4,1,1,1,0,1,0,0.18878531455993652,0.1541603058576584,0.03994668275117874,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,5,1,1,1,0,1,0,0.18844975531101227,0.18108613789081573,0.039960283786058426,0.0,0.7590361445783133,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,6,1,1,1,1,1,1,0.20048005878925323,0.16793233156204224,0.04023529589176178,0.028169013559818268,0.7802197802197802,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,7,1,1,1,0,1,0,0.18844975531101227,0.18108613789081573,0.039960283786058426,0.0,0.7590361445783133,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,8,1,1,1,0,1,0,0.18878531455993652,0.1541603058576584,0.03994668275117874,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,9,0,0,1,1,1,1,0.5310968160629272,0.20816798508167267,0.040352821350097656,0.39603960514068604,0.33666666666666667,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,10,1,1,1,1,1,1,0.20048005878925323,0.16793233156204224,0.04023529589176178,0.028169013559818268,0.7802197802197802,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,11,0,0,1,1,1,1,0.5310968160629272,0.20816798508167267,0.040352821350097656,0.39603960514068604,0.33666666666666667,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,12,0,0,1,1,1,1,0.5310968160629272,0.20816798508167267,0.040352821350097656,0.39603960514068604,0.33666666666666667,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,13,1,1,1,0,1,0,0.18844975531101227,0.18108613789081573,0.039960283786058426,0.0,0.7590361445783133,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,14,1,1,1,1,1,1,0.20048005878925323,0.16793233156204224,0.04023529589176178,0.028169013559818268,0.7802197802197802,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,15,1,1,1,0,1,0,0.18878531455993652,0.1541603058576584,0.03994668275117874,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,16,1,1,1,0,1,0,0.18844975531101227,0.18108613789081573,0.039960283786058426,0.0,0.7590361445783133,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,17,0,0,1,1,1,1,0.5310968160629272,0.20816798508167267,0.040352821350097656,0.39603960514068604,0.33666666666666667,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,18,1,1,1,0,1,0,0.18878531455993652,0.1541603058576584,0.03994668275117874,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,19,1,1,1,1,1,1,0.20048005878925323,0.16793233156204224,0.04023529589176178,0.028169013559818268,0.7802197802197802,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,20,1,1,1,0,1,0,0.18878531455993652,0.1541603058576584,0.03994668275117874,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,21,1,1,1,0,1,0,0.18878531455993652,0.1541603058576584,0.03994668275117874,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,22,1,1,1,0,1,0,0.18878531455993652,0.1541603058576584,0.03994668275117874,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,23,1,1,1,0,1,0,0.18844975531101227,0.18108613789081573,0.039960283786058426,0.0,0.7590361445783133,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,24,0,0,1,1,1,1,0.5310968160629272,0.20816798508167267,0.040352821350097656,0.39603960514068604,0.33666666666666667,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,25,0,0,1,1,1,1,0.5310968160629272,0.20816798508167267,0.040352821350097656,0.39603960514068604,0.33666666666666667,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,26,1,1,1,0,1,0,0.18878531455993652,0.1541603058576584,0.03994668275117874,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,27,0,0,1,1,1,1,0.5310968160629272,0.20816798508167267,0.040352821350097656,0.39603960514068604,0.33666666666666667,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,28,1,1,1,1,1,1,0.20048005878925323,0.16793233156204224,0.04023529589176178,0.028169013559818268,0.7802197802197802,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,29,1,1,1,1,1,1,0.20048005878925323,0.16793233156204224,0.04023529589176178,0.028169013559818268,0.7802197802197802,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,30,1,1,1,0,1,0,0.18844975531101227,0.18108613789081573,0.039960283786058426,0.0,0.7590361445783133,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,31,1,1,1,1,1,1,0.20048005878925323,0.16793233156204224,0.04023529589176178,0.028169013559818268,0.7802197802197802,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,32,1,1,1,1,1,1,0.20048005878925323,0.16793233156204224,0.04023529589176178,0.028169013559818268,0.7802197802197802,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,33,1,1,1,0,1,0,0.18878531455993652,0.1541603058576584,0.03994668275117874,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,34,1,1,1,0,1,0,0.18844975531101227,0.18108613789081573,0.039960283786058426,0.0,0.7590361445783133,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,35,1,1,1,0,1,0,0.18844975531101227,0.18108613789081573,0.039960283786058426,0.0,0.7590361445783133,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,36,1,1,1,0,1,0,0.18844975531101227,0.18108613789081573,0.039960283786058426,0.0,0.7590361445783133,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,37,1,1,1,1,1,1,0.20048005878925323,0.16793233156204224,0.04023529589176178,0.028169013559818268,0.7802197802197802,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,38,0,0,1,1,1,1,0.5310968160629272,0.20816798508167267,0.040352821350097656,0.39603960514068604,0.33666666666666667,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,39,1,1,1,0,1,0,0.18878531455993652,0.1541603058576584,0.03994668275117874,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,40,0,0,1,1,1,1,0.5310968160629272,0.20816798508167267,0.040352821350097656,0.39603960514068604,0.33666666666666667,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,41,0,0,1,1,1,1,0.5310968160629272,0.20816798508167267,0.040352821350097656,0.39603960514068604,0.33666666666666667,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,42,1,1,1,1,1,1,0.20048005878925323,0.16793233156204224,0.04023529589176178,0.028169013559818268,0.7802197802197802,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,43,1,1,1,1,1,1,0.20048005878925323,0.16793233156204224,0.04023529589176178,0.028169013559818268,0.7802197802197802,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,44,0,0,1,1,1,1,0.5310968160629272,0.20816798508167267,0.040352821350097656,0.39603960514068604,0.33666666666666667,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,45,1,1,1,0,1,0,0.18844975531101227,0.18108613789081573,0.039960283786058426,0.0,0.7590361445783133,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,46,1,1,1,1,1,1,0.20048005878925323,0.16793233156204224,0.04023529589176178,0.028169013559818268,0.7802197802197802,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,47,1,1,1,0,1,0,0.18844975531101227,0.18108613789081573,0.039960283786058426,0.0,0.7590361445783133,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,48,1,1,1,0,1,0,0.18844975531101227,0.18108613789081573,0.039960283786058426,0.0,0.7590361445783133,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,49,1,1,1,1,1,1,0.20048005878925323,0.16793233156204224,0.04023529589176178,0.028169013559818268,0.7802197802197802,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,50,0,0,1,1,1,1,0.5310968160629272,0.20816798508167267,0.040352821350097656,0.39603960514068604,0.33666666666666667,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,51,1,1,1,0,1,0,0.18878531455993652,0.1541603058576584,0.03994668275117874,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,52,1,1,1,0,1,0,0.18844975531101227,0.18108613789081573,0.039960283786058426,0.0,0.7590361445783133,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,53,1,1,1,0,1,0,0.18878531455993652,0.1541603058576584,0.03994668275117874,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,54,1,1,1,0,1,0,0.18878531455993652,0.1541603058576584,0.03994668275117874,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,55,1,1,1,1,1,1,0.20048005878925323,0.16793233156204224,0.04023529589176178,0.028169013559818268,0.7802197802197802,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,56,1,1,1,1,1,1,0.20048005878925323,0.16793233156204224,0.04023529589176178,0.028169013559818268,0.7802197802197802,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,57,1,1,1,1,1,1,0.20048005878925323,0.16793233156204224,0.04023529589176178,0.028169013559818268,0.7802197802197802,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,58,1,1,1,0,1,0,0.18878531455993652,0.1541603058576584,0.03994668275117874,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,59,1,1,1,0,1,0,0.18878531455993652,0.1541603058576584,0.03994668275117874,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,60,1,1,1,0,1,0,0.18844975531101227,0.18108613789081573,0.039960283786058426,0.0,0.7590361445783133,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,61,0,0,1,1,1,1,0.5310968160629272,0.20816798508167267,0.040352821350097656,0.39603960514068604,0.33666666666666667,0,0,0
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,62,1,1,1,0,1,0,0.18878531455993652,0.1541603058576584,0.03994668275117874,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_lowmean_pulse20_120_n64,False,goal,1,clean,63,0,0,1,1,1,1,0.5310968160629272,0.20816798508167267,0.040352821350097656,0.39603960514068604,0.33666666666666667,0,0,0
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,0,0,0,1,1,1,1,0.676663875579834,0.3108285963535309,0.07441957294940948,0.44285714626312256,0.9333333333333333,0,0,0
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,1,1,1,1,1,1,1,0.2048477679491043,0.16863349080085754,0.04094453901052475,0.032786883413791656,0.7530864197530864,0,0,0
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,2,1,1,1,0,1,0,0.1076405718922615,0.10207930952310562,0.026461012661457062,0.0,0.7849462365591398,0,-1,-1
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,3,1,1,1,1,1,1,0.2048477679491043,0.16863349080085754,0.04094453901052475,0.032786883413791656,0.7530864197530864,0,0,0
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,4,1,1,1,1,1,1,0.2048477679491043,0.16863349080085754,0.04094453901052475,0.032786883413791656,0.7530864197530864,0,0,0
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,5,1,1,1,1,1,1,0.2384040653705597,0.20353169739246368,0.0384734682738781,0.0317460335791111,0.7590361445783133,0,0,0
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,6,1,1,1,0,1,0,0.1076405718922615,0.10207930952310562,0.026461012661457062,0.0,0.7849462365591398,0,-1,-1
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,7,1,1,1,1,1,1,0.2384040653705597,0.20353169739246368,0.0384734682738781,0.0317460335791111,0.7590361445783133,0,0,0
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,8,1,1,1,1,1,1,0.2048477679491043,0.16863349080085754,0.04094453901052475,0.032786883413791656,0.7530864197530864,0,0,0
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,9,0,0,1,1,1,1,0.676663875579834,0.3108285963535309,0.07441957294940948,0.44285714626312256,0.9333333333333333,0,0,0
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,10,1,1,1,0,1,0,0.1076405718922615,0.10207930952310562,0.026461012661457062,0.0,0.7849462365591398,0,-1,-1
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,11,0,0,1,1,1,1,0.676663875579834,0.3108285963535309,0.07441957294940948,0.44285714626312256,0.9333333333333333,0,0,0
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,12,0,0,1,1,1,1,0.676663875579834,0.3108285963535309,0.07441957294940948,0.44285714626312256,0.9333333333333333,0,0,0
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,13,1,1,1,1,1,1,0.2384040653705597,0.20353169739246368,0.0384734682738781,0.0317460335791111,0.7590361445783133,0,0,0
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,14,1,1,1,0,1,0,0.1076405718922615,0.10207930952310562,0.026461012661457062,0.0,0.7849462365591398,0,-1,-1
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,15,1,1,1,1,1,1,0.2048477679491043,0.16863349080085754,0.04094453901052475,0.032786883413791656,0.7530864197530864,0,0,0
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,16,1,1,1,1,1,1,0.2384040653705597,0.20353169739246368,0.0384734682738781,0.0317460335791111,0.7590361445783133,0,0,0
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,17,0,0,1,1,1,1,0.676663875579834,0.3108285963535309,0.07441957294940948,0.44285714626312256,0.9333333333333333,0,0,0
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,18,1,1,1,1,1,1,0.2048477679491043,0.16863349080085754,0.04094453901052475,0.032786883413791656,0.7530864197530864,0,0,0
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,19,1,1,1,0,1,0,0.1076405718922615,0.10207930952310562,0.026461012661457062,0.0,0.7849462365591398,0,-1,-1
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,20,1,1,1,1,1,1,0.2048477679491043,0.16863349080085754,0.04094453901052475,0.032786883413791656,0.7530864197530864,0,0,0
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,21,1,1,1,1,1,1,0.2048477679491043,0.16863349080085754,0.04094453901052475,0.032786883413791656,0.7530864197530864,0,0,0
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,22,1,1,1,1,1,1,0.2048477679491043,0.16863349080085754,0.04094453901052475,0.032786883413791656,0.7530864197530864,0,0,0
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,23,1,1,1,1,1,1,0.2384040653705597,0.20353169739246368,0.0384734682738781,0.0317460335791111,0.7590361445783133,0,0,0
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,24,0,0,1,1,1,1,0.676663875579834,0.3108285963535309,0.07441957294940948,0.44285714626312256,0.9333333333333333,0,0,0
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,25,0,0,1,1,1,1,0.676663875579834,0.3108285963535309,0.07441957294940948,0.44285714626312256,0.9333333333333333,0,0,0
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,26,1,1,1,1,1,1,0.2048477679491043,0.16863349080085754,0.04094453901052475,0.032786883413791656,0.7530864197530864,0,0,0
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,27,0,0,1,1,1,1,0.676663875579834,0.3108285963535309,0.07441957294940948,0.44285714626312256,0.9333333333333333,0,0,0
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,28,1,1,1,0,1,0,0.1076405718922615,0.10207930952310562,0.026461012661457062,0.0,0.7849462365591398,0,-1,-1
goal1_top13_lowmean_shuffled_values_00_n64,True,goal,1,clean,29,1,1,1,0,1,0,0.1076405718922615,0.10207930952310562,0.026461012661457062,0.0,0.7849462365591398,0,-1,-1
